issue_id,type,created_date,created_date_zoned,updated_date,updated_date_zoned,resolved_date,resolved_date_zoned,summary,description,priority,status,resolution,assignee,assignee_username,reporter,reporter_username
MRM-1696,Improvement,2012-10-15T11:28:25.599Z,2012-10-15T11:28:25.599Z,2015-04-05T14:54:01.093Z,2015-04-05T14:54:01.093Z,,,Import metadata for artifact in batch mode,"For the moment, it's not possible to import metadata in batch mode. There isone rest service to add metadata one by one. The patch included add the possibility to add multiple metadatas. 
",Major,Open,,,,Adrien Lecharpentier,alecharp
MRM-1627,Task,2012-05-01T12:42:47.499Z,2012-05-01T12:42:47.499Z,2012-12-20T05:05:10.975Z,2012-12-20T05:05:10.975Z,2012-12-20T05:05:10.918Z,2012-12-20T05:05:10.918Z,Add documentation for Setup archiva with ldap,,Trivial,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,mark john magallanes,mmagallanes
MRM-1665,Bug,2012-09-10T17:39:50.765Z,2012-09-10T17:39:50.765Z,2012-09-11T13:51:22.033Z,2012-09-11T13:51:22.033Z,2012-09-11T02:58:44.391Z,2012-09-11T02:58:44.391Z,Adding a Snapshot Managed Repository results in Releases being checked too.,"Every time I add a new snapshot managed repository, save it and return to the ""Repositories"" page, and then refresh the page, I see that my snapshot repository has a sun symbol listed under Releases.

I was able to repeat this process 3 times.

Afterward, I was able to edit the snapshot managed repository and disable Releases.  This could potentially confuse someone if he or she navigates to another page thinking that everything went as expected.",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Chris Harris,Chris Harris
MRM-1639,Sub-task,2012-07-03T12:46:27.174Z,2012-07-03T12:46:27.174Z,2012-07-10T05:39:35.277Z,2012-07-10T05:39:35.277Z,2012-07-10T05:39:35.19Z,2012-07-10T05:39:35.19Z,History navigation,"To be more user friendly archiva web ui rewrite must allow a history navigation. 

Current behavior of back button is going to the previous web site event after lots of actions done inside archiva ui.

",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Eric Barboni,skygolanur
MRM-1601,New Feature,2012-02-07T02:30:21.842Z,2012-02-07T02:30:21.842Z,2014-04-16T23:05:44.589Z,2014-04-16T23:05:44.589Z,,,Add a consumer which can push informations to a ci server,"The goal is to say to the ci server a new SNAPSHOT of those artifacts is available.
will be an Artifact list in json or xml (must an option).
Per repo ?
Other configurations options:
* ci url to post json/xml
* username/password for BASIC authz to use.",Major,Open,,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1644,Bug,2012-07-20T12:12:58.465Z,2012-07-20T12:12:58.465Z,2015-04-05T14:53:45.137Z,2015-04-05T14:53:45.137Z,2012-07-20T16:36:09.878Z,2012-07-20T16:36:09.878Z,Archiva should set cache control headers instead of adding for maven-metadata.xml,"Looks like there might be an issue with how cache control header is added. This should use setHeader instead of an addHeader to protect against adding duplicate headers.

  private void setHeaders( DavServletResponse response, DavResourceLocator locator, DavResource resource )
    {
        // [MRM-503] - Metadata file need Pragma:no-cache response
        // header.
        if ( locator.getResourcePath().endsWith( ""/maven-metadata.xml"" ) )
        {
            response.addHeader( ""Pragma"", ""no-cache"" );
            response.addHeader( ""Cache-Control"", ""no-cache"" );
        }

        // We need to specify this so connecting wagons can work correctly
        response.addDateHeader( ""last-modified"", resource.getModificationTime() );

        // TODO: [MRM-524] determine http caching options for other types of files (artifacts, sha1, md5, snapshots)
    }

See below for a sample result with duplicate header.  Cache control header with public was added through servlet filter but then another cache control header got added.  Expected result should be that it should overwrite the exiting header:

< HTTP/1.1 200 OK
< Cache-Control: public, max-age=600, s-maxage=600 < Pragma: no-cache < Cache-Control: no-cache < Last-Modified: Thu, 19 Jul 2012 22:09:53 GMT < Content-Length: 3376 < Vary: Accept-Encoding < Connection: close < Content-Type: application/xml;charset=UTF-8
",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,charles kim,charlesk40
MRM-1625,Bug,2012-04-17T17:12:22.076Z,2012-04-17T17:12:22.076Z,2015-04-05T14:54:10.197Z,2015-04-05T14:54:10.197Z,2012-04-19T04:18:17.615Z,2012-04-19T04:18:17.615Z,java.lang.ArrayIndexOutOfBoundsException from parsing maven-metadata.xml,"ArrayIndexOutOfBoundsException is thrown when parsing some maven-metadata.xml files.  Please see the attached sample maven-metadata.xml and the proposed patch to fix the problem.


2012-04-17 00:04:43,098 WARN 
[org.apache.archiva.repository.metadata.MetadataTools] Unable to read metadata:
/home/y/var/yarchiva/data/repositories/public/yahoo/yinst/listings_reconciliation_framework
/listings-reconciliation-framework/maven-metadata-dist.xml
org.apache.archiva.repository.metadata.RepositoryMetadataException: Unable to
parse metadata xml
file:/home/y/var/yarchiva/data/repositories/public/yahoo/yinst/listings_reconciliation_framework/listing
s-reconciliation-framework/maven-metadata-dist.xml: null Nested exception: null
        at
org.apache.archiva.repository.metadata.RepositoryMetadataReader.read(RepositoryMetadataReader.java:95)
        at
org.apache.archiva.repository.metadata.MetadataTools.readProxyMetadata(MetadataTools.java:394)
        at
org.apache.archiva.repository.metadata.MetadataTools.getMetadatasForManagedRepository(MetadataTools.java:527)
        at
org.apache.archiva.repository.metadata.MetadataTools.updateMetadata(MetadataTools.java:437)
        at


Caused by: org.apache.archiva.xml.XMLException: Unable to parse metadata xml
file:/home/y/var/yarchiva/data/repositories/public/yahoo/yinst/listings_reconciliation_framework/listings-reconciliation-framework/maven-metadata-dist.xml:
null Nested exception: null
        at org.apache.archiva.xml.XMLReader.init(XMLReader.java:113)
        at org.apache.archiva.xml.XMLReader.<init>(XMLReader.java:81)
        at
org.apache.archiva.repository.metadata.RepositoryMetadataReader.read(RepositoryMetadataReader.java:52)
        ... 55 more
Caused by: org.dom4j.DocumentException: null Nested exception: null
        at org.dom4j.io.SAXReader.read(SAXReader.java:484)
        at org.dom4j.io.SAXReader.read(SAXReader.java:365)
        at org.apache.archiva.xml.XMLReader.init(XMLReader.java:109)
        ... 57 more

",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Charles King,charlesk
MRM-1672,Bug,2012-09-14T14:00:01.558Z,2012-09-14T14:00:01.558Z,2012-09-24T18:37:08.292Z,2012-09-24T18:37:08.292Z,2012-09-24T09:15:36.305Z,2012-09-24T09:15:36.305Z,Upload Artifact section doesn't clear uploaded artifacts,"1.) Log in as Admin
2.) Click on Upload Artifact over on the left-hand navigation section.
3.) Select a repository to where you wish to upload an artifact.
4.) Enter in the specifics, Choose an artifact to upload, check ""pomFile"" if you have one, and then click on ""Start Upload"".
Pausing here, I have a quick complaint, what are the check boxes next to ""Delete Upload"" for?  I assume it's for doing a mass delete or some other action on multiple uploaded artifacts, but the interface isn't intuitive enough at this point.
5.) Click on ""Save Files"".  Your artifact will get uploaded.
6.) Repeat steps 3 - 5.

Since the first uploaded artifact is still listed, you'll get an error message stating ""Overwriting released artifacts in repository 'snapshots' is not allowed.""  I also got this message for the 'internal' repository as well.  Anyway, I tried checking the check box next to the ""Delete Upload"" button to apply the save command explicitly to the 2nd artifact.  Same error message again.  Then, I tried checking the check box next to the ""Delete Upload"" button underneath ""Generate Maven POM"".  Same error message again.

In order for the 1st artifact to get cleared from the page, I have to navigate to another page or refresh the page.  Once that occurs, I can upload my 2nd artifact.",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Chris Harris,Chris Harris
MRM-1631,Sub-task,2012-05-30T11:17:49.972Z,2012-05-30T11:17:49.972Z,2012-05-30T11:18:08.879Z,2012-05-30T11:18:08.879Z,,,add buttons to sort versions in search result pages,,Major,Open,,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1677,Improvement,2012-09-24T16:10:23.841Z,2012-09-24T16:10:23.841Z,2012-09-24T16:15:01.002Z,2012-09-24T16:15:01.002Z,2012-09-24T16:15:00.899Z,2012-09-24T16:15:00.899Z,upgrade jetty 8,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1680,Improvement,2012-09-28T20:14:02.07Z,2012-09-28T20:14:02.07Z,2012-09-29T02:42:23.166Z,2012-09-29T02:42:23.166Z,2012-09-29T02:42:23.116Z,2012-09-29T02:42:23.116Z,Delete artifact by groupId/artifactId/versionId in context when authenticated w/ Admin privileges...,"I've consistently wished that as I'm managing my process, restructuring projects, releasing artifacts, and/or making our artifact naming more consistent, that I could just browse to the artifact that is obsolete and delete the desired artifact at the any level in the browsing structure including by groupId, artifactId or versionId, or even at the SNAPSHOT level without having to switch to a blank form that is out of context.

It would greatly simplify the management of the repository.  ",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Jeff Vincent,predatorvi
MRM-1693,Improvement,2012-10-13T08:51:04.972Z,2012-10-13T08:51:04.972Z,2012-10-15T07:23:38.033Z,2012-10-15T07:23:38.033Z,2012-10-15T07:23:37.896Z,2012-10-15T07:23:37.896Z,exposing index downloaded from remote repositories,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1506,Sub-task,2011-08-30T12:23:53.668Z,2011-08-30T12:23:53.668Z,2011-09-09T04:17:17.893Z,2011-09-09T04:17:17.893Z,2011-09-05T15:20:47.327Z,2011-09-05T15:20:47.327Z,api to configure RemoteRepository,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1527,Task,2011-09-30T05:11:47.029Z,2011-09-30T05:11:47.029Z,2011-09-30T06:10:34.53Z,2011-09-30T06:10:34.53Z,2011-09-30T06:10:34.516Z,2011-09-30T06:10:34.516Z,remove http://download.java.net/maven/2/  from default remote repositories (now sync with central),,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1541,Bug,2011-10-21T08:49:13.109Z,2011-10-21T08:49:13.109Z,2011-11-08T14:53:09.059Z,2011-11-08T14:53:09.059Z,2011-11-08T14:53:09.029Z,2011-11-08T14:53:09.029Z,Remove a managed repository does not remove it from groups,"I created a managed repo, then I created a group in which I included the managed repo.
Then I decided to remove the repository.
When I switch back to the Administration of Repository Group, I still see the managed repo as part of the group.

 ",Major,Closed,Cannot Reproduce,Olivier Lamy (*$^¨%`£),olamy,Sébastien Gandon,sgandon
MRM-1545,Improvement,2011-10-26T09:28:20.274Z,2011-10-26T09:28:20.274Z,2011-10-26T09:29:44.493Z,2011-10-26T09:29:44.493Z,2011-10-26T09:29:44.434Z,2011-10-26T09:29:44.434Z,upgrade derby version to 10.8.2.2,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1584,Sub-task,2012-01-12T09:59:52.429Z,2012-01-12T09:59:52.429Z,2014-08-07T23:31:26.422Z,2014-08-07T23:31:26.422Z,,,rewrite audit log page,,Major,Open,,,,Olivier Lamy (*$^¨%`£),olamy
MRM-1563,Bug,2011-11-30T06:12:55.38Z,2011-11-30T06:12:55.38Z,2012-09-06T17:28:18.045Z,2012-09-06T17:28:18.045Z,2012-09-06T17:28:17.797Z,2012-09-06T17:28:17.797Z,Project-level metadata not deleted after artifact removal,"I'm using the default configuration of Archiva for the repositories (internal and snapshots).
When I delete a release artifact using the web interface, I can still browse to it but the download box is empty.
When I delete a snapshot artifact using the web interface, I can still browse to it but the download box is still here with the download links. (If I click the one of the link, I get an ""unavailable resource"" error.)",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Marrache,miko95
MRM-1558,Improvement,2011-11-14T12:47:15.422Z,2011-11-14T12:47:15.422Z,2014-05-19T01:03:35.221Z,2014-05-19T01:03:35.221Z,2014-05-19T01:03:34.84Z,2014-05-19T01:03:34.84Z,Please provide some UI element which shows degraded and/or badly connected remote repository,It would be helpful to users to be able to see from the admin/repositories.action if a particular remote repository is in a bad state.,Minor,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,jieryn,jieryn
MRM-1501,New Feature,2011-08-13T15:50:03.499Z,2011-08-13T15:50:03.499Z,2015-04-05T23:58:20.535Z,2015-04-05T23:58:20.535Z,2011-09-26T11:02:45.704Z,2011-09-26T11:02:45.704Z,search on artifacts with OSGI Metadatas fields,"Ability to search on some OSGI metadatas symbolic-name, version, export-packages.
See improvmenents in maven-indexer [MINDEXER-36]
Need an update of maven-indexer .",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1529,Bug,2011-10-01T02:25:01.997Z,2011-10-01T02:25:01.997Z,2011-10-03T06:05:20.071Z,2011-10-03T06:05:20.071Z,2011-10-03T06:05:20.049Z,2011-10-03T06:05:20.049Z,CSRF checks are not working properly and cause operations to fail,"It seems the upgrade of Struts caused a problem with the token check.

I tried to grant the guest user ""manager"" permission on a repository, and it always fails a CSRF check, where it does not on 1.3.5.

I also tried to remove a permission from a repository and had the same problem. I had not visited other Archiva pages in the mean time.

All pages using token may need to be reviewed.",Blocker,Closed,Cannot Reproduce,Brett Porter,brettporter,Brett Porter,brettporter
MRM-1500,Bug,2011-08-11T04:03:30.737Z,2011-08-11T04:03:30.737Z,2011-09-28T04:59:14.084Z,2011-09-28T04:59:14.084Z,2011-09-28T04:59:14.047Z,2011-09-28T04:59:14.047Z,Fix sample on how to use ldap in applicationContext.xml,"applicationContext.xml file in webapp module is not anymore correct regarding sample on how to use ldap.
it's a reminder as since removing of plexus it has not been updated.",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1573,Sub-task,2012-01-05T16:31:00.708Z,2012-01-05T16:31:00.708Z,2012-09-06T07:38:07.17Z,2012-09-06T07:38:07.17Z,2012-03-16T11:14:43.331Z,2012-03-16T11:14:43.331Z,rewrite browse page,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1552,Bug,2011-11-07T11:19:10.205Z,2011-11-07T11:19:10.205Z,2011-11-08T10:49:35.676Z,2011-11-08T10:49:35.676Z,2011-11-08T10:49:35.654Z,2011-11-08T10:49:35.654Z,Perm-Gen space exception on MAC using the wrapper,"When I launch archiva using the wrapper on my Mac I get a perm gen space exception very quickly.
And of course the server does not respond anymore.
",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Sébastien Gandon,sgandon
MRM-1535,Improvement,2011-10-18T10:19:45.559Z,2011-10-18T10:19:45.559Z,2011-10-25T16:35:10.159Z,2011-10-25T16:35:10.159Z,2011-10-25T16:35:10.13Z,2011-10-25T16:35:10.13Z,Invalid reference (result HTTP 404) for css/no-theme/jquery-ui-1.8.14.theme.css,"Some pages reference 404 resource {code}css/no-theme/jquery-ui-1.8.14.theme.css{code} for example http://localhost:8080/archiva/browse/junit/junit/3.8.1 -- I verify that apps/archiva/css/no-theme/jquery.ui-1.8.14.theme.css does exist though, so this appears to be a $baseurl kind of thing.",Trivial,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,jieryn,jieryn
MRM-1511,Sub-task,2011-09-08T04:41:12.233Z,2011-09-08T04:41:12.233Z,2011-09-09T04:18:22.464Z,2011-09-09T04:18:22.464Z,2011-09-08T15:18:01.947Z,2011-09-08T15:18:01.947Z,api to configure LegacyArtifactPath,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1513,Sub-task,2011-09-08T04:41:55.595Z,2011-09-08T04:41:55.595Z,2011-09-09T04:18:36.004Z,2011-09-09T04:18:36.004Z,2011-09-08T10:14:26.147Z,2011-09-08T10:14:26.147Z,Remove DatabaseScanningConfiguration fields,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1593,Bug,2012-01-23T01:09:19.77Z,2012-01-23T01:09:19.77Z,2016-09-15T23:27:52.898Z,2016-09-15T23:27:52.898Z,2016-09-15T23:27:51.32Z,2016-09-15T23:27:51.32Z,Not able to run Archiva in AIX,"Hello,
I am unable to run Archiva on AIX box. I am getting the following error.

bash-4.0# ./bin/archiva console
Unable to locate any of the following binaries:
  /usr/apache-archiva-1.3.5/bin/./wrapper-aix-ppc-32
  /usr/apache-archiva-1.3.5/bin/./wrapper-aix-ppc-64
  /usr/apache-archiva-1.3.5/bin/./wrapper

System info is given below:
$ uname -a
AIX MSCAIX 1 6 000B0C4AD400

$ getconf -a | grep KERN
KERNEL_BITMODE:   64

Related issue i found is http://jira.codehaus.org/browse/MRM-880?focusedCommentId=289120#comment-289120. That was for Solaris.

regards
krishna",Blocker,Closed,Won't Fix,Olivier Lamy (*$^¨%`£),olamy,Krishna Kumar C,kkumarc@gmail.com
MRM-1570,Sub-task,2012-01-05T16:28:31.328Z,2012-01-05T16:28:31.328Z,2012-09-06T07:38:08.053Z,2012-09-06T07:38:08.053Z,2012-01-12T08:57:30.153Z,2012-01-12T08:57:30.153Z,rewrite user management page,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1595,Task,2012-01-30T02:58:29.697Z,2012-01-30T02:58:29.697Z,2012-01-30T03:38:22.068Z,2012-01-30T03:38:22.068Z,2012-01-30T03:38:21.924Z,2012-01-30T03:38:21.924Z,Upgrade to Guava 11.0.1,,Major,Closed,Fixed,Jean-Baptiste Onofré,jbonofre,Jean-Baptiste Onofré,jbonofre
MRM-1536,Bug,2011-10-18T10:24:33.104Z,2011-10-18T10:24:33.104Z,2012-07-30T09:43:53.657Z,2012-07-30T09:43:53.657Z,2012-07-30T09:43:53.463Z,2012-07-30T09:43:53.463Z,Error 500 when naughtily exploring webapp directory hierarchy,"While trying to diagnose MRM-1535 I started exploring the directory structure of the archiva webapp, from the browser, and triggered:

{code}jvm 1    | 2011-10-18 11:21:33.579::WARN:  /archiva/css/no-theme/
jvm 1    | java.lang.RuntimeException: org.apache.jasper.JasperException: Method public java.util.List org.apache.struts2.components.Form.getValidators(java.lang.String) threw an exception when invoked on org.apache.struts2.components.Form@4a2b4a2b - Class: freemarker.ext.beans.SimpleMethodModel
jvm 1    | File: SimpleMethodModel.java
jvm 1    | Method: exec
jvm 1    | Line: 130 - freemarker/ext/beans/SimpleMethodModel.java:130:-1
jvm 1    |      at com.opensymphony.sitemesh.webapp.decorator.BaseWebAppDecorator.render(BaseWebAppDecorator.java:39)
jvm 1    |      at com.opensymphony.sitemesh.webapp.SiteMeshFilter.doFilter(SiteMeshFilter.java:84)
jvm 1    |      at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1148)
jvm 1    |      at org.apache.struts2.dispatcher.ActionContextCleanUp.doFilter(ActionContextCleanUp.java:102)
jvm 1    |      at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1148)
jvm 1    |      at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:88)
jvm 1    |      at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
jvm 1    |      at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1148)
jvm 1    |      at org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:387)
jvm 1    |      at org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:216)
jvm 1    |      at org.mortbay.jetty.servlet.SessionHandler.handle(SessionHandler.java:181)
jvm 1    |      at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:765)
jvm 1    |      at org.mortbay.jetty.webapp.WebAppContext.handle(WebAppContext.java:417)
jvm 1    |      at org.mortbay.jetty.handler.ContextHandlerCollection.handle(ContextHandlerCollection.java:230)
jvm 1    |      at org.mortbay.jetty.handler.HandlerCollection.handle(HandlerCollection.java:114)
jvm 1    |      at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:152)
jvm 1    |      at org.mortbay.jetty.Server.handle(Server.java:326)
jvm 1    |      at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:534)
jvm 1    |      at org.mortbay.jetty.HttpConnection$RequestHandler.headerComplete(HttpConnection.java:864)
jvm 1    |      at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:539)
jvm 1    |      at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:212)
jvm 1    |      at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:404)
jvm 1    |      at org.mortbay.io.nio.SelectChannelEndPoint.run(SelectChannelEndPoint.java:409)
jvm 1    |      at org.mortbay.thread.BoundedThreadPool$PoolThread.run(BoundedThreadPool.java:451)
{code}",Trivial,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,jieryn,jieryn
MRM-1564,Improvement,2011-12-13T15:33:30.501Z,2011-12-13T15:33:30.501Z,2011-12-13T15:54:17.872Z,2011-12-13T15:54:17.872Z,2011-12-13T15:54:17.709Z,2011-12-13T15:54:17.709Z,spring 3.1.0 upgrade,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1526,Improvement,2011-09-23T12:55:21.809Z,2011-09-23T12:55:21.809Z,2011-10-04T03:57:38.513Z,2011-10-04T03:57:38.513Z,2011-10-04T03:57:38.473Z,2011-10-04T03:57:38.473Z,configure http connection pool values for wagon http,"to setup resources : maxTotal maxPerroute.

",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1555,Improvement,2011-11-08T02:55:47.683Z,2011-11-08T02:55:47.683Z,2011-11-08T03:22:47.673Z,2011-11-08T03:22:47.673Z,2011-11-08T03:22:46.827Z,2011-11-08T03:22:46.827Z,upgrade derby version to 10.8.2.2,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1594,Task,2012-01-30T01:27:06.939Z,2012-01-30T01:27:06.939Z,2012-01-30T02:41:23.573Z,2012-01-30T02:41:23.573Z,2012-01-30T02:37:19.423Z,2012-01-30T02:37:19.423Z,Upgrade to commons-codec 1.6,,Major,Closed,Fixed,Jean-Baptiste Onofré,jbonofre,Jean-Baptiste Onofré,jbonofre
MRM-1577,Sub-task,2012-01-12T09:56:44.584Z,2012-01-12T09:56:44.584Z,2012-09-06T07:38:07.94Z,2012-09-06T07:38:07.94Z,2012-03-06T12:33:55.264Z,2012-03-06T12:33:55.264Z,rewrite legacy path admin page,,Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Olivier Lamy (*$^¨%`£),olamy
MRM-1523,Test,2011-09-22T08:11:35.554Z,2011-09-22T08:11:35.554Z,2011-09-22T23:26:51.312Z,2011-09-22T23:26:51.312Z,2011-09-22T23:26:51.245Z,2011-09-22T23:26:51.245Z,Steps to Install Archva 1.3.5 (with default database)on tomcat 6.0.33 ,"Hello,

Coudl you please let me know the steps to install Archva 1.3.5 (with default database) on tomcat 6.0.33. since i am new to archiva.
i followed the below links but its not clear and not working properly.
http://archiva.apache.org/docs/1.3.5/adminguide/webapp.html 
https://cwiki.apache.org/confluence/display/ARCHIVA/Archiva+on+Tomcat

Regards,
Chandru.
",Major,Closed,Won't Fix,,,chandrasekaran,chandrasekaran.g
MRM-1553,Improvement,2011-11-07T11:22:09.441Z,2011-11-07T11:22:09.441Z,2011-11-07T11:22:09.441Z,2011-11-07T11:22:09.441Z,,,web browser does not display different classifiers,the browse item in the Archiva web GUI does not show me the different classifiers for a given artifact. So I cannot see nor download a given _group:articfact:classifier:type_.,Major,Open,,,,Sébastien Gandon,sgandon
MRM-1542,Bug,2011-10-21T09:41:03.879Z,2011-10-21T09:41:03.879Z,2011-10-24T14:38:53.457Z,2011-10-24T14:38:53.457Z,2011-10-24T14:38:53.427Z,2011-10-24T14:38:53.427Z,missing classifier field in the delete artifact web page,"We add artifacts with the same group:id:version and different classifier.
The web GUI for deleting artifact does not propose to enter the qualifier, or I would like to remove one artifact for a given qualifier not all the artifacts with any qualifiers.
Can you add an extra field for the qualifier, that may be optional if you do not want to break current use case.",Major,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,Sébastien Gandon,sgandon
MRM-1538,Improvement,2011-10-20T14:41:26.384Z,2011-10-20T14:41:26.384Z,2011-10-25T16:23:47.112Z,2011-10-25T16:23:47.112Z,2011-10-25T16:23:47.017Z,2011-10-25T16:23:47.017Z,Managed Repositories > Show Snippet ought to include a pluginRepositories section,"With Maven 3 laying down the law w/r/t repositories vs pluginRepositories, it would be nice if the example snippet would also include a section for pluginRepositories as well as repositories.",Trivial,Closed,Fixed,Olivier Lamy (*$^¨%`£),olamy,jieryn,jieryn
